"PersonSize","TimePoint","ModelTorF","RunSamples","BRMSEA","BGammaHat","adjBGammaHat","BMc"
31,5,0,1,0.199818381072912,0.455872324176559,0.435760633965828,0.00012991597067844
31,10,0,1,NA,NA,NA,NA
31,15,0,1,NA,NA,NA,NA
61,5,0,1,0.0742004583071814,0.858249528425016,0.853496545841332,0.289974418768232
61,10,0,1,0.141127999346968,0.453247191580376,0.449331185402382,1.38701517255759e-08
61,15,0,1,NA,NA,NA,NA
91,5,0,1,0.0524709197266601,0.923785284737573,0.921125101594454,0.538782816250736
91,10,0,1,0.0682339021124234,0.780143002232781,0.778432975367814,0.0145984428498876
91,15,0,1,0.108215875470898,0.485039056885849,0.483107934974792,4.22437912108554e-11
31,5,0.3,1,0.205936349170016,0.439085939487124,0.422748180667086,6.92747050673249e-05
31,10,0.3,1,NA,NA,NA,NA
31,15,0.3,1,NA,NA,NA,NA
61,5,0.3,1,0.0834595868332234,0.826728535919983,0.821473042017866,0.207812466337931
61,10,0.3,1,0.143261516589518,0.446236147879095,0.441333216723057,8.24642557781007e-09
61,15,0.3,1,NA,NA,NA,NA
91,5,0.3,1,0.0544038787195234,0.918359106431067,0.915707044160262,0.513567311438321
91,10,0.3,1,0.0748992496130934,0.746643713854479,0.744495752765885,0.00616121762357227
91,15,0.3,1,0.108163597597365,0.485334280850951,0.483292904076735,4.34517247327122e-11
